剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
杀不死,2017,李洪绸 / 邢冬冬,李洪绸 / 周小烦 / 刘爱银,杨羽 / 邵庄 / 安宁 / 王辰昊 / 邢冬冬,剧情 / 喜剧 / 悬疑,中国大陆,12,30,8.2,20892
绝密543,2017,宋海波 / 王功,王功,王聪 / 陈维涵 / 林永健 / 闫妮 / 顾宇峰 / 贾延鹏 / 徐东生 / 秦隽哲,剧情,中国大陆,35,45,8.2,2374
梦想X计划,2017,倪晶,倪晶,王嘉禾 / 费鲤齐 / 卢本娟 / 孙_,剧情 / 喜剧 / 运动,中国大陆,12,20,8.1,1507
大军师司马懿之军师联盟,2017,张永新,常江,吴秀波 / 刘涛 / 李晨 / 于和伟 / 张钧甯 / 唐艺昕 / 翟天临 / 张芷溪 / 王劲松 / 王东 / 肖顺尧 / 檀健次 / 章贺 / 刘欢 / 杜奕衡 / 曹磊 / 来喜 / 陆思宇 / 王仁君 / 陆妍淇 / 黄俊鹏 / 王伯昭 / 许还山 / 褚栓忠 / 张志忠 / 李佑伟 / 张逗逗 / 蒲萄 / 陈_伦 / 韩东 / 时光 / 陈之辉,剧情 / 爱情 / 战争 / 古装,中国大陆,42,45,8.1,80626
啊，父老乡亲,2017,赵镭,贾兴安,孙涛 / 井星文 / 高明 / 斯琴高娃 / 李诚儒,剧情,中国大陆,33,45,8,603
二次元奇妙物语,2017,水王是煞笔,水王是煞笔,吃素的狮子 / 水王是煞笔 / ⑨命猫Yukirei / 黑石稔,剧情 / 喜剧 / 惊悚,中国大陆,7,20,7.9,126
花间提壶方大厨,2017,李小江,游非 / 耳雅,雷牧 / 蒋佳恩 / 常铖 / 胡琨,喜剧 / 爱情 / 古装,中国大陆,36,40,7.9,29928
射雕英雄传,2017,蒋家骏,沈昱辰 / 王自蹊 / 赵微娜 / 徐涛 / 金庸,杨旭文 / 李一桐 / 陈星旭 / 孟子义 / 赵立新 / 刘智扬 / 王奎荣 / 肖茵 / 曾黎 / 李宗翰 / 吕良伟 / 代文雯 / 苗侨伟 / 米露 / 刘芊含 / 宁文彤 / 邵兵 / 宗峰岩 / 邵峰 / 夏梓桐 / 王春元 / 姬晨牧 / 余皑磊 / 黑子 / 郑斌辉 / 韩栋 / 傅天骄 / 王力 / 郭军 / 赵秋生 / 刘威 / 宋涛 / 赵聪 / 王林 / 马京京 / 信鹏 / 龙德 / 任希鸿 / 高玉庆 / 林以政 / 辜德超 / 孙皓 / 贾进 / 刘涛涛 / 胡博 / 尹硕 / 梁金山 / 张路 / 张楷依 / 宋庆 / 刘禹 / 范忠华 / 常铖 / 宫正楠 / 李依晓 / 曹杨 / 侯桐江 / 蒋一铭 / 诺敏达莱 / 宝迪 / 宏通·巴图 / 董李无忧 / 程六一 / 隋雨蒙,剧情 / 武侠 / 古装,中国大陆,52,45,7.9,50557
少年有点酷,2017,唐韬,吕伏阳 / 王丹 / 张高兴 / 董游,孙天宇 / 周梓琦 / 梁振锋 / 斌巴才仁 / 黄霄_ / 蒲悦 / 刘俊昊 / 周子琰 / 赛可 / 苏诗丁 / 王誉璇,剧情 / 喜剧 / 歌舞,中国大陆,24,30,7.8,2419
星光灿烂,2017,王硕,周密,范伟 / 郑奇 / 冯嘉怡 / 杨童舒 / 秦卫东,剧情,中国大陆,40,45,7.8,1208
