演员,平均分,部数
陈思,8.5,2
吴晓亮,8.5,2
陈平,8.5,1
杜宗国,8.5,1
史健全,8.5,1
党晋阳,8.5,1
丛鹏飞,8.5,1
徐念福,8.5,1
李靖飞,8.5,2
张皓卿,8.5,1
陈越,8.5,1
约翰·加纳德,8.5,1
萧淑慎,8.5,3
杨悯娜,8.5,1
周冰倩,8.5,1
王安秋,8.5,2
胡荣华,8.48,4
吕齐,8.48,4
甘雨,8.47,3
林鸿翔,8.47,3
哈斯其其格,8.45,2
董向荣,8.45,2
东方闻樱,8.45,2
江化霖,8.45,2
王建成,8.45,2
张永正,8.45,2
梁淑庄,8.45,2
邓鸣,8.45,2
丛林,8.45,2
黄造时,8.45,2
颜毓麟,8.45,4
倪以临,8.45,2
