剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
争霸传奇,2006,蔡晶盛,,陈坤 / 郭羡妮 / 刘松仁 / 马德钟 / 樊志起 / 贾妮 / 陈国邦 / 冯绍峰 / 洪雁 / 冼色丽 / 卓凡,剧情 / 古装,中国大陆 / 香港,49,45,8,982
天外飞仙,2006,黄伟明 / 王少杰 / 梁胜权,邓紫珊,胡歌 / 林依晨 / 李勤勤 / 赵亮 / 谢君豪 / 郭妃丽 / 窦智孔 / 吕一 / 唐宸禹 / 韩雪 / 陈秀丽 / 徐锦江 / 邬倩倩 / 岳跃利,爱情 / 奇幻 / 古装,中国大陆 / 台湾,38,47,7.6,20812
新九品芝麻官,2006,邓伟恩 / 温伟基,郭贤,黄子华 / 黄圣依 / 张默 / 苏永康 / 韩雨芹 / 罗家英 / 鲍逸琳 / 李建义 / 唐宸禹 / 吕行,剧情 / 喜剧,中国大陆 / 香港,35,,7.1,426
屋顶上的绿宝石,2006,崔宝珠,杜政哲,霍建华 / 孙俪 / 姚采颖 / 胡宇威 / 贾乃亮 / 张国立 / 张铁林 / 刘雪华 / 白冰冰 / 邬倩倩 / 张翊生,剧情 / 爱情,中国大陆 / 台湾,30,43,6.9,4338
别爱我,2006,李国立,邓飞,徐若_ / 胡歌 / 何炅 / 林家宇 / 蒋雪 / 谢娜 / 顾美华 / 艾伟 / 白云 / 朱玉雯,爱情,中国大陆 / 台湾,31,35,6.8,2126
车神,2006,游达志,,赵薇 / 陆毅 / 李威 / 安以轩 / 乔振宇 / 郑浩南 / 李威尹,剧情 / 爱情 / 运动,中国大陆 / 香港,22,,5.9,310
巴黎恋歌,2006,周晓鹏,环_ / 武瑶,林心如 / 任泉 / 谭俊彦 / 郭晓婷 / 丁文琪 / 狄龙 / 刘雪华 / 郑晓宁 / 周笑莉 / 阎青妤 / 刘涛 / 吴玉芳 / 黄勐,剧情 / 爱情,中国大陆 / 台湾,30,,5.7,125
明宫谜案,2007,孔笙,刘建业 / 孙卓,张晨光 / 萧蔷 / 高鑫 / 刘燕燕 / 桑叶红,历史,中国大陆 / 台湾,38,,7.5,114
李后主与赵匡胤,2007,吴丽骀,,吴奇隆 / 刘涛 / 黄文豪,剧情 / 爱情 / 历史,中国大陆 / 台湾,40,40,7,1438
岁月风云,2007,梁家树,朱镜祺,刘松仁 / 苗侨伟 / 佘诗曼 / 宣萱 / 邓萃雯 / 吴卓羲 / 林_ / 陈美琪 / 廖京生,家庭,中国大陆 / 香港,60,40,7,6257
还君明珠,2007,李惠民 / 余明生,关展博 / 余明生,董洁 / 李宗翰 / 黄少祺 / 李立群 / 孙兴,剧情 / 爱情,中国大陆 / 台湾,40,45,6.6,1194
血未冷,2007,夏晓昀 / 贺子壮,吴丽萍,陈松伶 / 张铎,剧情,中国大陆 / 香港,20,,6.4,42
霍元甲,2007,关锦鹏 / 鞠觉亮,陈翘英,郑伊健 / 陈小春 / 周牧茵 / 屈_ / 梁家仁,剧情,中国大陆 / 香港,42,,6.4,1184
转角遇到爱,2007,唐迪 / 林合隆,柴智屏 / 安婕 / 杨碧凤,徐熙媛 / 罗志祥 / 陈至恺 / 姜超 / 路嘉欣 / 藤冈靛 / 庾澄庆 / 方芳 / 陈_骐 / 黄鸿升 / 陈彦儒 / 张立威 / 瓦娜 / 范明 / 李晟 / 沈孟生 / 张瑞珈 / 肖剑,爱情,中国大陆 / 台湾,24,26,6.4,20575
龙游天下,2007,罗灿然,东函,王灿 / 曾安琪 / 齐千郡 / 沈世朋 / 周明增 / 贺镪 / 王嘉晖 / 马启慧 / 陈涛 / 李肖宁 / 乌日根 / 关悦 / 刘广厚 / 孟月英 / 李铁军 / 袁曼芬 / 郭军 / 张如君 / 张静东 / 张瑞珈 / 杨子炫 / 张家俊 / 王瑜 / 张丁懿 / 姚卓君 / 阴奕彤 / 刘苏 / 关少曾 / 刘奕宏 / 文忠 / 于子宽 / 董可飞 / 米杨 / 宋芮宁 / 张波 / 王小红 / 赵芙丽 / 戚一鸣 / 毕瀚文,剧情 / 古装,中国大陆 / 台湾,38,40,6.1,1813
又见一帘幽梦,2007,曾丽珍 / 麦大杰,琼瑶 / 沈芷凝,方中信 / 秦岚 / 张嘉倪 / 保剑锋 / 张晨光 / 吴冕 / 刘威葳 / 曾之乔 / 曹颖,剧情 / 爱情,中国大陆 / 台湾,46,48,5.6,13793
媳妇的眼泪,2007,罗福,,谢祖武 / 俞小凡 / 李欣,剧情 / 家庭,中国大陆 / 台湾,46,,5.2,222
红海棠,2008,侯明杰,傅琦然 / 汪弈升,杨若兮 / 许亚军 / 吕颂贤,,中国大陆 / 香港,27,,7.5,101
少林僧兵,2008,李惠民,王秋雨、李志贤,洪金宝 / 李铭顺 / 洪天照,,中国大陆 / 香港,34,,6.8,126
老师错了,2008,谢一德,林煌坤,张庭 / 张晓龙 / 王馥荔,,中国大陆 / 台湾,26,,6,85
仁者黄飞鸿,2008,王晶,王晶 / 陈茂贤,张卫健 / 陈炜 / 文颂娴 / 林子聪 / 孔琳 / 王晶 / 吴庆哲 / 张启乐,动作 / 古装,中国大陆 / 香港,33,43,5.9,610
现代美女,2008,蒋家骏,倪鹰 / 杨智深,杨恭如 / 霍建华 / 王曦仪 / 于小伟 / 黎宣 / 翁虹 / 申珉熙 / 卢杰君 / 唐嫣,剧情 / 爱情,中国大陆 / 香港,26,45,5.7,153
心星的泪光,2009,林合隆,周平之 / 毛训容,言承旭 / 关颖 / 曾恺_ / 陈至恺 / 章雯淇 / 丁宇辰 / 赵舜 / 刘瑞琪,爱情,中国大陆 / 台湾,20,60,6.3,1291
多情女人痴情男,2009,裘立新,裘立新,贾青 / 陈浩民 / 金佳,剧情,中国大陆 / 香港 / 台湾,35,,6,38
守着阳光守着你,2009,霍耀良,,明道 / 陈乔恩 / 张默,剧情 / 爱情,中国大陆 / 台湾,30,,5.6,331
微笑在我心,2009,周德华 / 张敏,仲__意小_,明道 / 张嘉倪 / 徐洁儿 / 黄勐 / 马可 / 张芯瑜,剧情 / 爱情,中国大陆 / 台湾,30,,4.6,729
