剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
米可，GO！,2006,梁修身,郑芬芬,李佳颖 / 蔡裴琳 / 莫子仪 / 柯淑勤 / 朱陆豪 / 孙兴 / 汪建民 / 梁家榕,,台湾,20,,8.2,269
霹雳侠影之轰霆剑海录,2014,王嘉祥,,,奇幻 / 武侠 / 古装,台湾,30,,8.2,221
台湾灵异事件,1996,伍宗德 / 庄训鑫,费诚 / 周宗旭 / 焦峰 / 曾淑美,谢祖武 / 汪建民 / 陈明真 / 季芹 / 赵英华 / 周宗旭 / 钮承泽 / 黄仲昆,恐怖,台湾,337,70,8.2,173
霹雳狼烟之古原争霸,2016,王嘉祥,,,奇幻 / 武侠 / 古装,台湾,150,60,8.2,148
厦门新娘,1995,林福地 / 天骐 / 谢一德 / 郭东华/,王中平,廖峻 / 黎燕珊 / 林炜,剧情 / 爱情 / 家庭,中国大陆 / 台湾,40,40,8.2,204
流星花园,2001,蔡岳勋,柴智屏 / 冯家瑞 / 毛训容 / 神尾叶子,徐熙媛 / 言承旭 / 周渝民 / 朱孝天 / 吴建豪 / 杨丞琳 / 钱韦杉 / 许玮伦 / 钟汉良 / 蓝正龙 / 欧定兴 / 徐华凤 / 张若蓁 / 郑美黛 / 叶安婷 / 柯奂如 / 李杰圣 / 董至成 / 王月 / 甄秀珍 / 刘尔金 / 彭伟华 / 唐琪 / 应采灵 / 林祖恩 / 庾澄庆,剧情 / 喜剧 / 爱情,台湾,20,45,8.2,59663
History,2017,李青蓉 / 阿黛蒙德·李 / 蔡宓洁 / 唐逸,杨宜桦 / 林珮瑜,江常辉 / 张行 / 赖东贤 / 宋柏纬 / 蒋昀霖 / 吴珝阳 / 森竣 / 任祐成 / 卢彦泽 / 范少勋 / 杨孟霖 / 施柏宇,剧情 / 爱情 / 同性,台湾,28,20,8.2,260
你的孩子不是你的孩子,2018,陈慧翎,蒋友竹 / 简士耕 / 洪兹盈 / 夏康真 / 费工怡 / 马千代 / 吴晓乐,柯素云 / 刘子铨 / 曾少宗 / 凌心妤 / 刘亮佐 / 刘冠廷 / 吴慷仁 / 赵正平 / 路嘉欣 / 钟欣凌 / 刘修甫 / 邵昕 / 王渝屏 / 乾德门 / 汤志伟 / 黄采仪 / 马国贤 / 郭鑫 / 尹馨 / 王净 / 陈孟琪 / 云中岳 / 艾摩尔 / 魏如萱 / 曹晏豪 / 谢琼煖 / 王渝萱 / 陈以文 / 林鼎轩 / 李宇彤 / 郭子乾 / 叶全真 / 吴兆弦 / 丁也恬 / 林焕钧 / 钟政均 / 阎成诚 / 严艺文,剧情 / 科幻 / 家庭,台湾,10,50,8.2,5232
家有仙妻,1991,伍宗德,张凤鸣,林以真 / 澎恰恰 / 孙兴 / 白冰冰 / 戈伟如 / 李又麟,喜剧 / 爱情 / 家庭 / 奇幻,台湾,40,40,8.2,31115
霹雳奇象,2006,,,黄文择,武侠 / 古装,台湾,40,40,8.2,451
白色巨塔,2006,蔡岳勋,吴洛缨,言承旭 / 戴立忍 / 张钧甯 / 杨谨华 / 黄腾浩,剧情,台湾,39,47,8.2,4920
一代女皇,1985,李岳峰,孟子义 / 独孤红,潘迎紫 / 樊日行 / 崔浩然 / 许家荣,传记 / 古装,台湾,40,,8.2,7538
