剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
东周列国·春秋篇,1996,沈好放,欧阳逸冰 / 郭启宏 / 王培公,王绘春 / 林乃桢 / 郑强 / 何冰 / 修宗迪 / 张山 / 周继伟 / 杨静 / 丛林 / 蒋恺 / 常远 / 张炬 / 唐国强 / 谭宗尧 / 蒋勤勤 / 张光北 / 吴刚 / 胡军 / 初星一 / 奚美娟 / 蒋竹青 / 刘栋 / 鲍大志 / 龚丽君 / 杨立新 / 崔红红,剧情 / 传记 / 历史 / 战争 / 古装,中国大陆,30,45,9.1,2780
三国演义（精编版）,1997,蔡晓晴,杜家福,唐国强 / 鲍国安 / 孙彦军 / 陆树铭,剧情 / 历史 / 战争,中国大陆,19,90,9.1,1617
记忆的证明,2002,杨阳,徐广顺 / 杨阳 / 范昕 / 刘淑杰 / 黄仁柯,段奕宏 / 裴秀彬 / 矢野浩二 / 李光洁 / 徐秀林 / 阿部力 / 蓝天野 / 彭心宜 / 班赞 / 孙一明,剧情 / 历史 / 战争,中国大陆,29,40,9.1,2191
小井胡同,1996,宫晓东 / 田迪,李龙云,王姬 / 陈宝国 / 谢钢 / 张绍荣,剧情 / 喜剧 / 爱情 / 历史,中国大陆,20,71,9.1,565
老娘舅,1995,屠耀麟,王辉荃 / 洪靖慧,李九松 / 陈国庆 / 陈国庆 / 毛猛达 / 姚琪儿 / 马莉莉 / 钱程 / 倪迎春 / 周益伦,剧情 / 喜剧 / 家庭,中国大陆,,30,9.1,1183
大地之子,1995,松岡孝治 / 潘小扬 / 榎戸崇泰,山崎丰子 / 冈崎荣,上川隆也 / 仲代达矢 / 朱旭 / 蒋雯丽 / 吕中 / 永井真理子 / 田中好子 / 饭冢雅弓,剧情 / 历史 / 战争,中国大陆 / 日本,14,40,9.1,462
官场现形记,1996,侯克明,,孙敏 / 牛犇,喜剧 / 古装,中国大陆,20,50,9.1,332
追你到天边,2003,史晨风,俞钟 / 雷婷,岳红 / 沈伐 / 余皑磊 / 李虎诚 / 王戈 / 曾坤 / 陈睿 / 唐宁 / 罗学军 / 张璐,,中国大陆,22,46,9.0,50
路遥,2010,田波,,路遥 / 李野默 / 陈忠实 / 贾平凹 / 贾樟柯 / 吴天明 / 潘石屹 / 王天乐 / 闻频 / 李建军,,中国大陆,8,26,9.0,376
大盛魁,2013,王新民,王路沙 / 梅峰,于震 / 乔振宇 / 吴连生 / 周显欣 / 午马 / 王绘春 / 郑玉,剧情 / 爱情 / 传记 / 历史 / 古装,中国大陆,56,42,9.0,242
夺子战争,1997,梁山,金勇勤,赵有亮 / 朱茵 / 李家耀 / 林燕玉 / 白穆 / 陈奇 / 刘昌伟,剧情 / 家庭,中国大陆,10,,9.0,417
芝麻开门,2002,何伟,单松,林晓凡 / 乔乔 / 郭旭 / 刘子枫 / 常景如,剧情,中国大陆,20,46,9.0,103
国之大器,2011,李鹰,李鹰,,,中国大陆,6,23,9.0,78
街坊邻居,2001,张新,祝云清 / 鲁广峰 / 李小海 / 余纪,凌琳 / 周萍 / 孟霞 / 曾凡强 / 徐立起 / 蒲心玉 / 刘意,,中国大陆,100,,9.0,270
龙珠,1997,陈力,常媛,苗乙乙 / 黄凯 / 陶虹 / 陆剑民 / 曹卫宇,剧情 / 历史,中国大陆 / 泰,25,50,9.0,165
同学，你好！,2001,孔笙 / 张永新,邓海燕,林佳妮 / 曹苑 / 王超荧 / 陈嫣嫣 / 江一燕 / 刘超 / 戴琦 / 张京宇 / 李晨雨,剧情 / 儿童,中国大陆,10,,9.0,168
长大成人,2001,,,季天赋 / 王楠 / 朱祺隆,儿童,中国大陆,120,23,9.0,75
中国刑侦1号案,2002,陈国军,牛伯成 / 大江,丁勇岱 / 余小雪 / 王淑琴 / 王音 / 徐利 / 乌兰其其格 / 周佳北 / 武强 / 田玉岐 / 王青山 / 梁达 / 谢伟才 / 刘冲 / 傅丽云 / 韩夫 / 赵耀东 / 蔡雯艳 / 谢荐 / 穆怀伟 / 杜明明 / 王虎城 / 靳鹏 / 黄亚波 / 卫晓茼,犯罪,中国大陆,26,45,9.0,1896
龙年档案,2003,于庚庚,柯云路,张丰毅 / 潘雨辰 / 戈治均,剧情,中国大陆,26,,9.0,138
古城童话,1999,张进战,,苏可 / 张谊 / 解月,剧情 / 儿童 / 历史,中国大陆,20,45,9.0,1091
金刚葫芦娃,2014,,,,剧情 / 喜剧,中国大陆,40,,9.0,1262
大宋提刑官,2005,阚卫平,钱林森 / 廉声,何冰 / 罗海琼 / 谢兰 / 王海燕 / 郭达 / 沈傲君 / 范伟 / 苗圃 / 杜志国 / 何政军 / 午马 / 严顺开 / 郭冬临 / 牛犇 / 凌峰 / 洪剑涛 / 雷恪生 / 艾丽娅 / 赵亮 / 岳丽娜,剧情 / 悬疑 / 历史 / 古装,中国大陆,52,45,9.0,29744
米老鼠和唐老鸭,1984,华特·迪士尼,华特·迪士尼,董浩 / 李扬,喜剧 / 儿童,中国大陆 / 美,104,,9.0,1104
白夜追凶,2017,王伟,指纹 / 顾小白,潘粤明 / 王泷正 / 梁缘 / 吕晓霖 / 尹姝贻 / 侯雪龙 / 宋乃刚 / 王余阳 / 博超 / 李胜强 / 韩烨洲 / 杨凯迪 / 马薇 / 张栋栋 / 李振涛 / 李胜荣 / 张芯宁 / 岳士涵 / 吴文璟 / 刘柏希 / 黄伟 / 孙蛟龙 / 周军 / 王政 / 梁刚 / 高梓刚 / 刘辛格 / 曾子建 / 刘天蔚 / 王剑明 / 张兆忠 / 张璐 / 刘宣 / 张伟 / 鹿昊 / 孙建江 / 孙乐天 / 张美琪 / 国立刚 / 杨大为 / 宋永恒 / 天笑 / 秦海 / 杨阳 / 宁小花 / 高果 / 于京京,剧情 / 悬疑 / 犯罪,中国大陆,32,45,9.0,245310
