剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
只要你过的比我好,2012,马鲁剑,于漫洋,温峥嵘 / 张国强 / 陈创,剧情,中国大陆,36,45,6.5,301
商鞅传奇,1997,周晓文,冉成淼,李冰冰 / 周里京 / 戈治均,剧情 / 传记 / 历史,中国大陆,22,,6.5,50
再见艳阳天,2009,赖水清 / 黄伟杰,杨海薇 / 刘书桦 / 刘天赐,孙莉 / 保剑锋 / 罗诠浩 / 王刚 / 杨晶晶 / 吕颂贤 / 刘雪华 / 寇振海 / 田丽 / 霍政谚 / 张定涵 / 吴廷烨,剧情,中国大陆,32,,6.5,265
雳剑,2013,张健,谭靖恒 / 张健,乔鹏樾 / 张若昀 / 朱杰 / 吴婷 / 李卓霖 / 蔡蝶 / 蓝盈莹,剧情 / 战争,中国大陆,38,,6.5,143
怒火英雄,2016,毛卫宁,王成刚,王雷 / 邓家佳 / 霍政谚 / 乔乔 / 柯伯龙,剧情 / 战争,中国大陆,42,40,6.5,164
新猛龙过江,2015,凌飞,周令刚,陈国坤 / 杨蓉 / 苗侨伟 / 依灵 / 牟凤彬 / 杜维瀚 / 王伟光 / 王思懿 / 何佳怡,剧情 / 动作,中国大陆,30,45,6.5,155
新施公案,2013,余丁 / 杨小波,李晓苹,范明 / 甘婷婷 / 姚笛 / 赵锦焘 / 郭珍霓 / 张逸杰 / 陈莎莉 / 夏德俊 / 宁文彤 / 汤镇业 / 任东霖 / 韩栋 / 毛林林 / 徐洁儿 / 王建新 / 李子雄,剧情 / 犯罪 / 古装,中国大陆,32,45,6.5,300
你一定要幸福,2007,朱翊,徐萌,梅婷 / 薛佳凝 / 张铎 / 刘冠成 / 黄瑜洁 / 陆琦蔚 / 张逸凡 / 余豪 / 孙敏 / 朱茵 / 练束梅 / 董波 / 源唯杰 / 张瑞嘉 / 朱翊 / 魏东 / 虞嘉娜,,中国大陆,28,,6.5,125
儿女情更长,2012,沈星浩,李云良,奚美娟 / 王诗槐 / 田中千绘 / 姜妍 / 张芝华 / 吴冕 / 佟瑞欣 / 朱铁 / 万茜 / 王维维,剧情 / 家庭,中国大陆,39,40,6.5,154
温柔陷阱,2001,向北,徐忠杰 / 晶晶,巍子 / 江珊 / 李芸 / 刘小锋 / 吴晓敏 / 许晶 / 洪融 / 张鸿鑫 / 阮志强,,中国大陆,26,,6.5,148
定制幸福,2016,谢律,桂冠 / 赵晓曦,乔任梁 / 童瑶 / 刘天佐 / 孙骁骁 / 米露 / 苗驰 / 于蓓蓓 / 何明翰 / 黄曼 / 李博,剧情 / 爱情,中国大陆,38,45,6.5,208
叫一声妈妈,2007,张晓光,王丽萍,叶璇 / 张默 / 李颖 / 孙菲菲 / 张天霖,,中国大陆,28,,6.5,192
月嫂,2010,江海洋 / 江传荣,陶玲芬,倪萍 / 叶童 / 奚美娟 / 张秋歌 / 吴建飞 / 于洋 / 戴燕妮,剧情 / 家庭,中国大陆,25,,6.5,223
血色婚姻,2009,金舸,刘伟超,顾邵华 / 陈奕迅 / 刘培 / 濮存昕 / 蒋雯丽 / 斯琴高丽,,中国大陆,20,,6.5,210
田教授家的28个房客,2001,何伟,王晓玉 / 李晴宇,李立群 / 杨昆 / 顾永菲 / 李明启,剧情 / 喜剧,中国大陆,21,40,6.5,204
再婚进行时,2011,李威,李榕,高露 / 曹炳琨 / 姚芊羽 / 张铎 / 赵玲琪 / 严敏裘 / 白志迪 / 何昊阳 / 高郡伟,爱情 / 家庭,中国大陆,38,,6.4,332
